Date,Item,Quantity
2016-06-13,POS Hard Drive,1
2016-06-13,Imaging DELL OPTIPLEX 745,2
2016-06-14,POS Hard Drive,1
2016-06-14,Testing MX915,60
2016-06-14,Imaging DELL OPTIPLEX 9020,51
2016-06-15,POS Hard Drive,3
2016-06-15,Imaging DELL OPTIPLEX 9020,48
2016-06-15,Testing MX915 PIN PADS,12
2016-06-22,Imaging DELL OPTIPLEX 9020,63
2016-06-22,Imaging Imaging HP DL160 SERVER GEN9,1
2016-06-22,POS Hard Drive,2
2016-06-22,Imaging HP DC5800 PC,2
2016-06-22,Testing MX915 PIN PADS,24
2016-06-22,Imaging CISCO 1252,1
2016-06-22,Certegy,45
2016-06-22,Imaging HP6000,1
2016-06-23,Imaging DELL T430 ESX SERVER,1
2016-06-23,Wiping CISCO 2950 SWITCH,25
2016-06-23,Imaging CISCO 1252,2
2016-06-21,Imaging Microtrax,1
2016-06-22,Imaging Microtrax,1
2016-06-22,Imaging ThumbDrives SVU,30
2016-06-21,Depot with imaged pcs ThumbDrives SVU,14
2016-06-27,Imaging POS Hard Drive,1
2016-06-27,Testing DIGI SM 90,3
2016-06-28,Testing Bizerba Scales,1
2016-06-28,Imaging DELL OPTIPLEX 9020,25
2016-06-28,Testing MX925 SIG CAP DEVICE,4
2016-06-29,Imaging DELL OPTIPLEX 9020,40
2016-06-29,Depot with imaged pcs ThumbDrives SVU RX,7
2016-06-29,Depot ThumbDrives LLC_NAI,6
2016-06-29,Imaging POS Hard Drive,1
2016-06-30,Depot ThumbDrives LLC_NAI,1
2016-06-30,Depot with imaged pcs ThumbDrives LLC_NAI,1
2016-06-30,Imaging CISCO 1252,2
2016-07-01,Testing NETFRAME MPC620,2
2016-07-01,Cleaning and Imaging Hobart Quantum,1
2016-07-01,Imaging POS Hard Drive,1
2016-07-06,Testing IMPACT-S,1
2016-07-06,Testing MX915 PIN PADS,3
2016-07-06,Imaging POS Hard Drive,1
2016-07-06,Testing CISCO 1252,1
2016-07-06,Imaging IMPACT-S,10
2016-07-06,Testing NETFRAME MPC620,4
2016-07-06,Testing MX915 PIN PADS,30
2016-07-06,HP DL160 G9 imaging,1
2016-07-08,Imaging DELL OPTIPLEX 9020,33
2016-07-08,Testing NETFRAME MPC620,5
2016-07-08,Testing CISCO 1252,1
2016-07-12,HP DL160 G8 testing,1
2016-07-12,Imaging DELL OPTIPLEX 9020,38
2016-07-12,Wiping CISCO 2950 SWITCH,15
2016-07-18,Imaging CISCO 1252,1
2016-07-18,Imaging IMPACT-S,8
2016-07-18,Testing NETFRAME MPC620,28
2016-07-18,Van Run,3
2016-07-18,Symbol CB3000 imaging,1
2016-07-21,Imaging DELL OPTIPLEX 9020,60
2016-07-21,Imaging MX915 PIN PADS,30
2016-07-21,Van Run,1
2016-07-21,Imaging CISCO 1252,1
2016-07-21,Testing CISCO 1252,1
2016-07-21,Testing DELL OPTIPLEX 745,1
2016-07-21,Imaging ISP DRIVES,5
2016-07-22,Imaging POS Hard Drive,1
2016-07-22,Testing MX915 PIN PADS,50
2016-07-22,Imaging DELL OPTIPLEX 9020,30
2016-07-22,Van Run,1
